timestamp,instrument,ltp,ltq,bid_price,ask_price,bid_qty,ask_qty
2025-08-01 11:45:52,BSE_FO|840326,195.25,20,195.05,195.35,120,80
2025-08-01 11:45:53,BSE_FO|840326,194.25,20,193.7,194.15,120,40
2025-08-01 11:45:54,BSE_FO|840326,194.8,80,195.0,195.25,100,20
2025-08-01 11:45:55,BSE_FO|840326,195.5,160,195.0,195.5,180,240
2025-08-01 11:45:56,BSE_FO|840326,195.45,120,194.8,195.45,20,240
2025-08-01 11:45:56,BSE_FO|840326,195.45,120,194.95,195.45,100,140
2025-08-01 11:45:57,BSE_FO|840326,193.75,20,193.15,193.7,80,60
2025-08-01 11:45:58,BSE_FO|840326,193.7,60,193.15,193.7,60,100
2025-08-01 11:45:59,BSE_FO|840326,193.05,40,192.4,192.9,20,180
2025-08-01 11:46:00,BSE_FO|840326,192.9,20,192.9,193.35,120,60
2025-08-01 11:46:01,BSE_FO|840326,192.3,40,192.25,192.75,140,20
2025-08-01 11:46:01,BSE_FO|840326,192.3,40,192.15,192.7,200,40
2025-08-01 11:46:02,BSE_FO|840326,193.75,20,193.4,193.75,160,40
2025-08-01 11:46:02,BSE_FO|840326,193.75,20,193.4,193.75,140,20
2025-08-01 11:46:03,BSE_FO|840326,193.2,20,193.05,193.5,20,100
2025-08-01 11:46:03,BSE_FO|840326,193.2,20,193.05,193.5,60,80
2025-08-01 11:46:04,BSE_FO|840326,193.25,20,192.7,193.2,560,120
2025-08-01 11:46:04,BSE_FO|840326,192.55,20,192.4,192.9,140,120
2025-08-01 11:46:05,BSE_FO|840326,193.3,20,193.0,193.35,260,20
2025-08-01 11:46:07,BSE_FO|840326,193.75,60,193.0,193.6,120,60
2025-08-01 11:46:08,BSE_FO|840326,193.7,100,193.95,194.2,80,20
2025-08-01 11:46:09,BSE_FO|840326,194.8,20,193.95,194.5,40,40
2025-08-01 11:46:09,BSE_FO|840326,194.8,20,193.8,194.35,140,60
2025-08-01 11:46:10,BSE_FO|840326,194.9,20,194.35,194.85,80,80
2025-08-01 11:46:10,BSE_FO|840326,194.9,20,194.25,194.75,80,60
2025-08-01 11:46:11,BSE_FO|840326,194.5,20,193.75,194.3,140,60
2025-08-01 11:46:12,BSE_FO|840326,194.4,20,193.7,194.2,180,20
2025-08-01 11:46:13,BSE_FO|840326,194.5,280,194.0,194.4,20,100
2025-08-01 11:46:14,BSE_FO|840326,194.1,20,193.7,194.2,240,20
2025-08-01 11:46:15,BSE_FO|840326,194.2,20,193.7,194.2,100,160
2025-08-01 11:46:16,BSE_FO|840326,193.9,80,193.35,193.9,160,40
2025-08-01 11:46:17,BSE_FO|840326,194.05,20,193.7,194.2,120,40
2025-08-01 11:46:18,BSE_FO|840326,194.2,40,194.1,194.45,260,20
2025-08-01 11:46:19,BSE_FO|840326,194.9,20,194.8,195.35,60,60
2025-08-01 11:46:20,BSE_FO|840326,195.25,20,194.55,195.05,120,20
2025-08-01 11:46:22,BSE_FO|840326,195.8,20,195.4,195.85,100,120
2025-08-01 11:46:22,BSE_FO|840326,195.8,20,195.4,195.85,60,20
2025-08-01 11:46:23,BSE_FO|840326,196.0,20,195.2,195.75,400,40
2025-08-01 11:46:23,BSE_FO|840326,196.0,20,195.4,195.8,40,20
2025-08-01 11:46:24,BSE_FO|840326,195.75,20,195.2,195.7,100,20
2025-08-01 11:46:25,BSE_FO|840326,194.85,40,194.4,194.85,60,80
2025-08-01 11:46:26,BSE_FO|840326,195.15,40,194.85,195.2,40,40
2025-08-01 11:46:26,BSE_FO|840326,195.15,40,194.85,195.2,40,220
2025-08-01 11:46:27,BSE_FO|840326,194.9,40,195.0,195.35,40,40
2025-08-01 11:46:28,BSE_FO|840326,195.9,20,195.4,195.95,120,20
2025-08-01 11:46:28,BSE_FO|840326,195.9,20,195.4,195.95,160,40
2025-08-01 11:46:29,BSE_FO|840326,195.7,20,195.4,195.75,40,20
2025-08-01 11:46:30,BSE_FO|840326,194.3,100,194.5,195.0,60,60
2025-08-01 11:46:30,BSE_FO|840326,194.3,100,194.4,194.9,120,40
2025-08-01 11:46:31,BSE_FO|840326,194.9,80,194.8,195.3,200,20
2025-08-01 11:46:31,BSE_FO|840326,194.9,80,194.85,195.35,220,60
2025-08-01 11:46:32,BSE_FO|840326,196.0,260,195.6,196.1,20,40
2025-08-01 11:46:33,BSE_FO|840326,197.8,20,197.25,197.7,100,20
2025-08-01 11:46:35,BSE_FO|840326,197.05,20,197.0,197.55,220,20
2025-08-01 11:46:35,BSE_FO|840326,198.0,120,196.85,197.3,300,40
2025-08-01 11:46:37,BSE_FO|840326,197.3,20,197.15,197.5,100,140
2025-08-01 11:46:37,BSE_FO|840326,197.3,20,197.0,197.5,380,80
2025-08-01 11:46:38,BSE_FO|840326,198.0,20,197.9,198.35,200,60
2025-08-01 11:46:39,BSE_FO|840326,198.05,160,198.05,198.4,260,80
2025-08-01 11:46:39,BSE_FO|840326,198.05,160,198.1,198.4,280,80
2025-08-01 11:46:40,BSE_FO|840326,197.95,20,197.45,197.85,80,40
2025-08-01 11:46:41,BSE_FO|840326,197.95,40,197.95,198.3,140,60
2025-08-01 11:46:42,BSE_FO|840326,197.7,20,197.9,198.4,200,60
2025-08-01 11:46:43,BSE_FO|840326,198.5,20,198.15,198.45,40,20
2025-08-01 11:46:43,BSE_FO|840326,198.45,20,198.2,198.65,40,60
2025-08-01 11:46:44,BSE_FO|840326,197.4,20,197.2,197.65,20,20
2025-08-01 11:46:44,BSE_FO|840326,197.4,20,197.25,197.75,80,40
2025-08-01 11:46:45,BSE_FO|840326,197.45,20,196.95,197.35,160,20
2025-08-01 11:46:45,BSE_FO|840326,196.9,20,196.45,196.9,40,60
2025-08-01 11:46:46,BSE_FO|840326,198.55,20,198.0,198.5,40,100
2025-08-01 11:46:47,BSE_FO|840326,198.3,20,198.1,198.55,40,120
2025-08-01 11:46:48,BSE_FO|840326,197.7,100,197.45,198.0,60,140
2025-08-01 11:46:49,BSE_FO|840326,198.0,20,197.85,198.35,40,80
2025-08-01 11:46:51,BSE_FO|840326,198.45,20,198.4,198.85,180,140
2025-08-01 11:46:52,BSE_FO|840326,197.7,60,197.8,198.2,80,60
2025-08-01 11:46:52,BSE_FO|840326,197.85,40,197.75,198.2,60,20
2025-08-01 11:46:53,BSE_FO|840326,198.25,20,197.8,198.0,60,100
2025-08-01 11:46:53,BSE_FO|840326,198.25,20,197.55,198.0,60,120
2025-08-01 11:46:54,BSE_FO|840326,197.7,60,197.35,197.75,60,40
2025-08-01 11:46:55,BSE_FO|840326,197.7,40,197.3,197.8,140,60
2025-08-01 11:46:56,BSE_FO|840326,197.75,20,197.1,197.7,280,80
2025-08-01 11:46:57,BSE_FO|840326,197.4,20,197.2,197.75,120,40
2025-08-01 11:46:57,BSE_FO|840326,197.4,20,197.3,197.75,60,40
2025-08-01 11:46:58,BSE_FO|840326,197.7,40,197.75,197.95,400,60
2025-08-01 11:46:58,BSE_FO|840326,198.15,20,198.1,198.45,60,40
2025-08-01 11:46:59,BSE_FO|840326,198.65,20,198.6,198.9,20,20
2025-08-01 11:47:00,BSE_FO|840326,198.7,20,198.3,198.7,40,20
2025-08-01 11:47:01,BSE_FO|840326,198.05,20,198.05,198.45,60,20
2025-08-01 11:47:02,BSE_FO|840326,198.3,20,198.6,198.95,40,20
2025-08-01 11:47:03,BSE_FO|840326,198.7,140,198.6,199.1,20,60
2025-08-01 11:47:04,BSE_FO|840326,198.7,140,198.7,199.05,160,20
2025-08-01 11:47:04,BSE_FO|840326,199.0,20,198.75,199.2,60,100
2025-08-01 11:47:05,BSE_FO|840326,199.0,20,198.55,199.05,140,40
2025-08-01 11:47:06,BSE_FO|840326,199.55,20,199.0,199.5,60,80
2025-08-01 11:47:07,BSE_FO|840326,199.7,80,199.2,199.55,40,20
2025-08-01 11:47:08,BSE_FO|840326,198.9,100,198.0,198.55,20,60
2025-08-01 11:47:09,BSE_FO|840326,198.85,20,198.1,198.6,80,60
2025-08-01 11:47:10,BSE_FO|840326,198.75,40,198.75,199.2,40,20
2025-08-01 11:47:11,BSE_FO|840326,199.4,80,199.3,199.65,180,20
2025-08-01 11:47:11,BSE_FO|840326,199.4,80,199.25,199.65,140,40
2025-08-01 11:47:12,BSE_FO|840326,199.1,120,198.5,199.1,200,160
2025-08-01 11:47:12,BSE_FO|840326,199.1,120,198.65,199.1,100,20
2025-08-01 11:47:13,BSE_FO|840326,199.5,20,198.4,198.9,120,40
2025-08-01 11:47:13,BSE_FO|840326,199.5,20,198.45,198.95,100,20
2025-08-01 11:47:14,BSE_FO|840326,199.0,340,199.45,200.0,60,640
2025-08-01 11:47:15,BSE_FO|840326,199.45,20,199.05,199.25,320,80
2025-08-01 11:47:16,BSE_FO|840326,201.0,20,200.55,201.0,100,340
2025-08-01 11:47:17,BSE_FO|840326,201.35,20,201.3,201.85,180,80
2025-08-01 11:47:18,BSE_FO|840326,200.55,20,200.15,200.65,120,120
2025-08-01 11:47:19,BSE_FO|840326,200.55,20,200.15,200.65,160,40
2025-08-01 11:47:20,BSE_FO|840326,199.9,60,199.8,200.25,120,60
2025-08-01 11:47:21,BSE_FO|840326,199.9,20,199.9,200.35,80,40
2025-08-01 11:47:22,BSE_FO|840326,200.2,20,199.65,200.15,60,60
2025-08-01 11:47:23,BSE_FO|840326,199.8,160,199.85,200.35,240,80
2025-08-01 11:47:24,BSE_FO|840326,200.2,80,200.35,200.7,20,40
2025-08-01 11:47:24,BSE_FO|840326,200.2,80,200.35,200.7,20,20
