Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
386.6,384.676713,192.32874,0.005
386.8,390.37118,11.060211,-0.009148
386.8,389.324963,3.862913,-0.006485
387.5,389.209855,2.157866,-0.004393
385.75,387.974595,1.009701,-0.005734
385.25,386.992037,0.443102,-0.004501
384.1,385.829416,0.039722,-0.004482
385.4,385.661117,-0.00839,-0.000677
385.75,385.693212,0.000524,0.000147
386.75,386.113506,0.090691,0.001648
387.25,386.606855,0.176422,0.001664
388.0,387.24238,0.274142,0.001956
389.55,388.274775,0.436047,0.003284
389.7,389.077353,0.5146,0.0016
388.55,389.207016,0.43186,-0.001688
388.2,389.107938,0.317524,-0.002333
388.15,388.954996,0.216114,-0.00207
388.15,388.794488,0.134905,-0.001658
388.95,388.936994,0.136544,3.3e-05
388.05,388.696029,0.055153,-0.001662
388.95,388.824507,0.07096,0.000323
389.2,389.007773,0.095166,0.000494
388.65,388.935916,0.059169,-0.000735
387.25,388.351619,-0.079505,-0.002837
387.35,387.932119,-0.152776,-0.001501
385.95,387.104862,-0.29813,-0.002983
384.0,385.771907,-0.521141,-0.004593
384.0,384.789621,-0.620521,-0.002052
383.0,383.738067,-0.713412,-0.001923
382.65,382.886524,-0.743181,-0.000618
380.0,381.353122,-0.913481,-0.003548
379.3,380.019471,-1.004031,-0.001893
381.1,379.783989,-0.838402,0.003465
381.1,379.73989,-0.667222,0.003582
381.45,379.949158,-0.47833,0.00395
380.3,379.776532,-0.412448,0.001378
380.3,379.709144,-0.338085,0.001556
379.35,379.363295,-0.339758,-3.5e-05
377.7,378.535567,-0.44492,-0.002207
378.4,378.204701,-0.42034,0.000516
377.55,377.697955,-0.438961,-0.000392
376.7,377.0529,-0.483376,-0.000936
379.45,377.631516,-0.254507,0.004815
379.9,378.307201,-0.054043,0.00421
379.15,378.583812,0.017216,0.001496
380.85,379.430193,0.195909,0.003742
379.45,379.561176,0.181917,-0.000293
379.35,379.598164,0.150683,-0.000654
380.9,380.173262,0.242148,0.001912
382.3,381.110233,0.391889,0.003122
381.5,381.50134,0.39172,-4e-06
380.5,381.379458,0.281035,-0.002306
380.8,381.343241,0.212664,-0.001425
379.45,380.779486,0.045339,-0.003491
378.3,379.893957,-0.155272,-0.004196
377.65,378.968615,-0.321229,-0.003479
377.4,378.187492,-0.42034,-0.002082
376.65,377.355273,-0.509104,-0.001869
376.65,376.773844,-0.524691,-0.000329
378.95,377.244919,-0.310094,0.00452
378.35,377.45658,-0.197651,0.002367
378.8,377.827101,-0.075205,0.002575
378.9,378.175186,0.016018,0.001917
377.45,377.917932,-0.042875,-0.001238
378.85,378.234506,0.03459,0.001627
383.15,380.068618,0.422403,0.008107
384.6,382.005945,0.748883,0.006791
383.9,383.177038,0.839873,0.001887
385.0,384.379362,0.917985,0.001615
385.0,385.187719,0.894359,-0.000487
387.3,386.531109,0.991129,0.001989
388.0,387.698383,1.02909,0.000778
391.0,389.565322,1.209654,0.003683
391.0,390.857939,1.227533,0.000363
391.65,391.92492,1.192933,-0.000701
