tick,action,price,est_price,prob,reason
37,BUY,379.35,379.363295,0.74370366,
71,SELL,388.0,387.698383,,Signal Exit
131,BUY,379.05,379.05992,0.7013893,
132,SELL,379.55,379.227777,,Signal Exit
312,BUY,381.6,381.763564,0.71355283,
335,SELL,391.55,391.201648,,Signal Exit
373,BUY,381.85,382.13452,0.72410953,
377,SELL,382.6,382.298056,,Signal Exit
455,BUY,378.35,378.647276,0.72207963,
488,SELL,376.45,376.086524,,Signal Exit
497,BUY,373.3,373.402574,0.7112117,
506,SELL,373.0,372.708627,,Signal Exit
512,BUY,370.85,371.055219,0.74781483,
527,SELL,369.9,369.741818,,Signal Exit
595,BUY,373.3,373.427563,0.7002771,
610,SELL,372.8,372.548086,,Signal Exit
1049,BUY,342.05,342.369487,0.7520123,
1055,SELL,343.7,343.423543,,Signal Exit
1387,BUY,342.15,342.478613,0.7276339,
1394,SELL,344.1,343.777279,,Signal Exit
1623,BUY,333.4,333.51639,0.76557964,
1637,SELL,333.75,333.499222,,Signal Exit
2298,BUY,339.2,339.464496,0.7098053,
2304,SELL,344.25,343.970128,,Signal Exit
2484,BUY,345.6,345.861202,0.8601497,
2507,SELL,345.0,344.78513,,Signal Exit
2750,BUY,354.1,354.258937,0.7935482,
2762,SELL,347.4,348.954236,,STOP LOSS
2791,BUY,345.2,345.237499,0.7126342,
2797,SELL,348.9,348.661933,,Signal Exit
2978,BUY,295.3,295.471042,0.81149334,
2990,SELL,299.5,299.215649,,Signal Exit
3004,BUY,293.75,293.980542,0.77164906,
3030,SELL,303.9,303.698652,,Signal Exit
3213,BUY,306.0,306.077291,0.77550364,
3220,SELL,309.5,309.499502,,Signal Exit
3241,BUY,308.65,308.918497,0.8221378,
3288,SELL,308.0,307.846087,,Signal Exit
3319,BUY,308.0,308.120399,0.7670883,
3343,SELL,310.45,310.271815,,Signal Exit
3347,BUY,308.75,309.000824,0.7791378,
3411,SELL,302.65,303.362842,,STOP LOSS
3428,BUY,297.8,297.989858,0.788649,
3433,SELL,300.35,300.230095,,Signal Exit
3455,BUY,301.0,301.025473,0.8160988,
3461,SELL,305.7,305.430314,,Signal Exit
3505,BUY,299.6,299.797927,0.714254,
3523,SELL,292.1,295.053774,,STOP LOSS
3546,BUY,293.05,293.239674,0.78359926,
3560,SELL,297.95,297.930998,,Signal Exit
3749,BUY,310.6,310.831721,0.78937787,
3775,SELL,308.95,308.94965,,Signal Exit
3852,BUY,313.75,313.9133,0.723712,
3878,SELL,312.2,312.066315,,Signal Exit
3899,BUY,308.4,308.641684,0.70031106,
3902,SELL,309.0,308.966071,,Signal Exit
4013,BUY,313.65,313.732616,0.73825884,
4036,SELL,313.2,312.961601,,Signal Exit
4076,BUY,315.1,315.286766,0.8120721,
4080,SELL,316.3,316.076784,,Signal Exit
4083,BUY,315.25,315.538527,0.7237966,
4094,SELL,314.95,314.776498,,Signal Exit
4152,BUY,327.65,327.904521,0.7634442,
4165,SELL,326.55,326.377156,,Signal Exit
4178,BUY,326.4,326.628961,0.7013718,
4195,SELL,324.65,324.348268,,Signal Exit
4320,BUY,336.5,336.750386,0.71757877,
4343,SELL,330.0,331.997952,,STOP LOSS
4496,BUY,318.5,318.740122,0.7186259,
4509,SELL,319.5,319.47505,,Signal Exit
4603,BUY,305.95,306.23287,0.7362429,
4612,SELL,311.5,311.499182,,Signal Exit
4625,BUY,306.2,306.337343,0.7091626,
4631,SELL,300.95,302.630843,,STOP LOSS
4810,BUY,297.3,297.57123,0.74050045,
4832,SELL,290.2,291.862096,,STOP LOSS
4849,BUY,291.25,291.524537,0.7862129,
4869,SELL,291.9,291.838607,,Signal Exit
4924,BUY,292.2,292.485146,0.8370649,
4930,SELL,293.0,292.738581,,Signal Exit
4936,BUY,292.0,292.00904,0.7199956,
4959,SELL,286.25,286.750314,,STOP LOSS
5049,BUY,300.3,300.559848,0.76213026,
5051,SELL,301.1,300.948178,,Signal Exit
5115,BUY,289.95,290.230577,0.8612683,
5123,SELL,290.75,290.628029,,Signal Exit
5126,BUY,290.4,290.462503,0.75087845,
5147,SELL,289.15,288.990653,,Signal Exit
5341,BUY,256.95,257.113324,0.7937003,
5354,SELL,251.0,251.888882,,STOP LOSS
5398,BUY,244.65,244.685528,0.7711613,
5444,SELL,256.5,256.455963,,Signal Exit
5493,BUY,255.6,255.84445,0.7058134,
5500,SELL,256.2,255.985534,,Signal Exit
5527,BUY,254.35,254.458438,0.75496954,
5533,SELL,255.65,255.406874,,Signal Exit
5546,BUY,254.1,254.27252,0.7183076,
5548,SELL,254.9,254.672079,,Signal Exit
5640,BUY,252.4,252.413912,0.7269086,
5648,SELL,252.55,252.539939,,Signal Exit
5763,BUY,252.45,252.63743,0.8116306,
5770,SELL,253.0,252.83094,,Signal Exit
5860,BUY,253.15,253.225343,0.7226417,
